Module, Date, Time (PDT), Vin (V), Iin (A), Vout (V), Iout (A), Power (W)
M431101029AJ2, 2015-6-15, 6:39:00, 34.031250, 0.268311, 25.812500, 0.307617, 7.940369
M461101120AJF, 2015-6-15, 6:39:00, 30.984375, 0.161133, 10.945312, 0.345703, 3.783829
M421101006AJB, 2015-6-15, 6:39:00, 36.031250, 3.150391, 35.875000, 3.117188, 111.829102
M431101063AJA, 2015-6-15, 6:39:00, 32.312500, 0.246338, 1.547852, 3.333984, 5.160513
M461101194AJ0, 2015-6-15, 6:40:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M461101053AJ8, 2015-6-15, 6:40:00, 30.640625, 0.194336, 29.265625, 0.166138, 4.862123
M431101029AJ2, 2015-6-15, 6:40:00, 34.718750, 0.278809, 24.015625, 0.354736, 8.519215
M461101120AJF, 2015-6-15, 6:40:00, 31.468750, 0.166138, 10.289062, 0.390869, 4.021677
M421101006AJB, 2015-6-15, 6:40:00, 36.312500, 3.199219, 33.437500, 3.414062, 114.157715
M431101063AJA, 2015-6-15, 6:40:00, 32.625000, 0.254395, 1.475586, 3.607422, 5.323061
M461101194AJ0, 2015-6-15, 6:41:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M461101053AJ8, 2015-6-15, 6:41:00, 31.093750, 0.195923, 30.281250, 0.164429, 4.979107
M431101029AJ2, 2015-6-15, 6:41:00, 34.906250, 0.294189, 22.984375, 0.393311, 9.039997
M461101120AJF, 2015-6-15, 6:41:00, 32.000000, 0.170776, 9.835938, 0.429443, 4.223978
M421101006AJB, 2015-6-15, 6:41:00, 36.562500, 3.275391, 31.953125, 3.654297, 116.766205
M431101063AJA, 2015-6-15, 6:41:00, 33.281250, 0.259521, 1.433594, 3.822266, 5.479576
M461101194AJ0, 2015-6-15, 6:42:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M461101053AJ8, 2015-6-15, 6:42:00, 31.406250, 0.195923, 30.718750, 0.164062, 5.039795
M431101029AJ2, 2015-6-15, 6:42:00, 35.312500, 0.300293, 23.359375, 0.401611, 9.381390
M461101120AJF, 2015-6-15, 6:42:00, 32.281250, 0.173096, 9.921875, 0.437012, 4.335976
M421101006AJB, 2015-6-15, 6:42:00, 36.593750, 3.339844, 32.406250, 3.675781, 119.118286
M431101063AJA, 2015-6-15, 6:42:00, 33.562500, 0.262939, 1.471680, 3.837891, 5.648146
M461101194AJ0, 2015-6-15, 6:43:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M461101053AJ8, 2015-6-15, 6:43:00, 30.921875, 0.204590, 29.656250, 0.175415, 5.202152
M431101029AJ2, 2015-6-15, 6:43:00, 35.562500, 0.306396, 22.593750, 0.427002, 9.647575
M461101120AJF, 2015-6-15, 6:43:00, 32.500000, 0.175049, 9.578125, 0.462646, 4.431286
M421101006AJB, 2015-6-15, 6:43:00, 36.500000, 3.421875, 31.328125, 3.884766, 121.702423
M431101063AJA, 2015-6-15, 6:43:00, 33.750000, 0.265869, 1.403320, 4.023438, 5.646172
M461101194AJ0, 2015-6-15, 6:44:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M461101053AJ8, 2015-6-15, 6:44:00, 30.921875, 0.204590, 29.656250, 0.175415, 5.202152
M431101029AJ2, 2015-6-15, 6:44:00, 35.562500, 0.306396, 22.593750, 0.427002, 9.647575
M461101120AJF, 2015-6-15, 6:44:00, 32.500000, 0.175049, 9.578125, 0.462646, 4.431286
M421101006AJB, 2015-6-15, 6:44:00, 36.500000, 3.421875, 31.328125, 3.884766, 121.702423
M431101063AJA, 2015-6-15, 6:44:00, 33.750000, 0.265869, 1.403320, 4.023438, 5.646172
M461101194AJ0, 2015-6-15, 6:45:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M461101053AJ8, 2015-6-15, 6:45:00, 31.140625, 0.204590, 30.062500, 0.175049, 5.262405
M461101053AJ8, 2015-6-15, 6:45:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M431101029AJ2, 2015-6-15, 6:45:00, 36.187500, 0.311768, 23.000000, 0.436035, 10.028809
M461101120AJF, 2015-6-15, 6:45:00, 32.656250, 0.178101, 9.687500, 0.469482, 4.548111
M421101006AJB, 2015-6-15, 6:45:00, 36.406250, 3.521484, 31.875000, 3.919922, 124.947510
M431101063AJA, 2015-6-15, 6:45:00, 33.875000, 0.271240, 1.433594, 4.070312, 5.835175
M461101194AJ0, 2015-6-15, 6:46:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M431101029AJ2, 2015-6-15, 6:46:00, 36.843750, 0.328125, 22.734375, 0.475098, 10.801048
M461101053AJ8, 2015-6-15, 6:46:00, 31.140625, 0.204590, 30.062500, 0.175049, 5.262405
M431101029AJ2, 2015-6-15, 6:46:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M461101120AJF, 2015-6-15, 6:46:00, 32.812500, 0.181396, 9.757812, 0.479492, 4.678795
M421101006AJB, 2015-6-15, 6:46:00, 36.218750, 3.644531, 32.312500, 3.984375, 128.745117
M431101063AJA, 2015-6-15, 6:46:00, 33.625000, 0.280518, 1.461914, 4.164062, 6.087502
M461101194AJ0, 2015-6-15, 6:47:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M461101053AJ8, 2015-6-15, 6:47:00, 30.968750, 0.212158, 29.828125, 0.182983, 5.458052
M461101053AJ8, 2015-6-15, 6:47:00, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
M431101029AJ2, 2015-6-15, 6:47:00, 36.843750, 0.328125, 22.734375, 0.475098, 10.801048
M461101120AJF, 2015-6-15, 6:47:00, 32.718750, 0.183716, 9.242188, 0.510742, 4.720375
M421101006AJB, 2015-6-15, 6:47:00, 36.125000, 3.708984, 31.171875, 4.183594, 130.410461
M431101063AJA, 2015-6-15, 6:47:00, 33.562500, 0.286133, 1.406250, 4.359375, 6.130371
M461101194AJ0, 2015-6-15, 6:48:00, 30.437500, 0.145508, 11.296875, 0.282715, 3.193794
M431101029AJ2, 2015-6-15, 6:48:00, 37.812500, 0.340576, 24.390625, 0.474854, 11.581974
M461101120AJF, 2015-6-15, 6:48:00, 32.781250, 0.190674, 9.773438, 0.507324, 4.958302
M421101006AJB, 2015-6-15, 6:48:00, 35.812500, 3.878906, 33.375000, 4.058594, 135.455566
M431101063AJA, 2015-6-15, 6:48:00, 33.843750, 0.294189, 1.547852, 4.261719, 6.596508
M461101053AJ8, 2015-6-15, 6:48:00, 30.968750, 0.212158, 29.828125, 0.182983, 5.458052
